[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1357729182.234000 1/9/2013, 10:59:42 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-107
INFO, WEIGHT, 21.240
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, JPSW, gel cap, with tape, no eico
INFO, SEQUENCE FILE: StdDC_Mag_short_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1357736480.328,,1.000000e+003,8.005636e+001,7.784432e-004,4.305018e-005,3,9.707031e-001,5.530292e+000,,,,,,,,,,,,,,24,3,4.000000e+000,3.098297e-002,0.000000e+000,0,,0,
1357736765.484,,1.000000e+003,7.497140e+001,8.040212e-004,3.478757e-006,3,9.890066e-001,4.326698e-001,,,,,,,,,,,,,,24,3,4.000000e+000,9.342957e-002,0.000000e+000,0,,0,
1357737077.687,,1.000000e+003,7.004988e+001,8.643868e-004,2.216292e-006,3,9.894044e-001,2.564004e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.231812e-002,0.000000e+000,0,,0,
1357737314.875,,1.000000e+003,6.507330e+001,9.377266e-004,3.746924e-006,3,9.894506e-001,3.995753e-001,,,,,,,,,,,,,,24,3,4.000000e+000,7.057190e-003,0.000000e+000,0,,0,
1357737590.625,,1.000000e+003,6.005763e+001,1.012470e-003,2.396200e-007,3,9.896311e-001,2.366687e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.684021e-002,0.000000e+000,0,,0,
1357737867.390,,1.000000e+003,5.502684e+001,1.113259e-003,1.224227e-006,3,9.897451e-001,1.099678e-001,,,,,,,,,,,,,,24,3,4.000000e+000,5.398941e-002,0.000000e+000,0,,0,
1357738090.031,,1.000000e+003,5.005530e+001,1.235268e-003,1.789222e-006,3,9.896867e-001,1.448448e-001,,,,,,,,,,,,,,24,3,4.000000e+000,7.159042e-002,0.000000e+000,0,,0,
1357738314.875,,1.000000e+003,4.502217e+001,1.386249e-003,1.056040e-006,3,9.897204e-001,7.617970e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.723099e-002,0.000000e+000,0,,0,
1357738539.421,,1.000000e+003,4.000965e+001,1.553522e-003,4.216340e-005,3,9.779938e-001,2.714053e+000,,,,,,,,,,,,,,24,3,4.000000e+000,3.118896e-002,0.000000e+000,0,,0,
1357738781.328,,1.000000e+003,3.499679e+001,1.819758e-003,5.720321e-005,3,9.671354e-001,3.143451e+000,,,,,,,,,,,,,,24,3,4.000000e+000,2.800751e-002,0.000000e+000,0,,0,
1357739001.500,,1.000000e+003,3.000294e+001,2.176043e-003,9.662318e-007,3,9.899312e-001,4.440317e-002,,,,,,,,,,,,,,24,3,4.000000e+000,4.688072e-002,0.000000e+000,0,,0,
1357739187.484,,1.000000e+003,2.799173e+001,2.318792e-003,6.104870e-005,3,9.808195e-001,2.632780e+000,,,,,,,,,,,,,,24,3,4.000000e+000,1.848984e-002,0.000000e+000,0,,0,
1357739369.234,,1.000000e+003,2.599302e+001,2.560911e-003,2.175265e-007,3,9.900357e-001,8.494105e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.870918e-002,0.000000e+000,0,,0,
1357739575.109,,1.000000e+003,2.399394e+001,2.806403e-003,1.667731e-006,3,9.900851e-001,5.942595e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.901054e-002,0.000000e+000,0,,0,
