[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1357901283.765000 1/11/2013, 10:48:03 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-104
INFO, WEIGHT, 30.930
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, JPSW, gel cap, with tape, no eico
INFO, SEQUENCE FILE: StdDC_Mag_short_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1357901283.765,,1.000000e+003,2.999944e+002,2.885726e-004,3.282197e-007,3,9.847481e-001,1.137390e-001,,,,,,,,,,,,,,24,3,4.000000e+000,5.950928e-002,0.000000e+000,0,,0,
1357901830.046,,1.000000e+003,2.901179e+002,3.019581e-004,1.833605e-006,3,9.862463e-001,6.072383e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.887817e-001,0.000000e+000,0,,0,
1357902132.953,,1.000000e+003,2.795707e+002,3.135770e-004,1.636670e-006,3,9.867977e-001,5.219356e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.742126e-001,0.000000e+000,0,,0,
1357902430.796,,1.000000e+003,2.696104e+002,3.249062e-004,1.702248e-006,3,9.860106e-001,5.239200e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.736267e-001,0.000000e+000,0,,0,
1357902747.812,,1.000000e+003,2.596540e+002,3.377632e-004,1.721478e-006,3,9.869313e-001,5.096702e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.731079e-001,0.000000e+000,0,,0,
1357903049.062,,1.000000e+003,2.496205e+002,3.516803e-004,1.955762e-006,3,9.876130e-001,5.561192e-001,,,,,,,,,,,,,,24,3,4.000000e+000,4.116974e-001,0.000000e+000,0,,0,
1357903362.812,,1.000000e+003,2.396935e+002,3.666085e-004,1.977944e-006,3,9.881749e-001,5.395250e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.197937e-001,0.000000e+000,0,,0,
1357903694.093,,1.000000e+003,2.297164e+002,3.822952e-004,1.996459e-006,3,9.875889e-001,5.222297e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.227081e-001,0.000000e+000,0,,0,
1357904036.328,,1.000000e+003,2.197782e+002,4.000159e-004,2.153672e-006,3,9.878042e-001,5.383967e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.839050e-001,0.000000e+000,0,,0,
1357904355.703,,1.000000e+003,2.097675e+002,4.199859e-004,2.414684e-006,3,9.888875e-001,5.749440e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.367004e-001,0.000000e+000,0,,0,
