[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1363866538.437000 3/21/2013, 11:48:58 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-106
INFO, WEIGHT, 30.310
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, no eico
INFO, SEQUENCE FILE: StdDC_Mag_long_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1363873858.921,,1.000000e+003,8.005834e+001,1.034943e-003,5.947917e-006,3,9.897699e-001,5.747098e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.269745e-002,0.000000e+000,0,,0,
1363874151.562,,1.000000e+003,7.497231e+001,1.103549e-003,4.229378e-006,3,9.902899e-001,3.832526e-001,,,,,,,,,,,,,,24,3,4.000000e+000,8.974457e-002,0.000000e+000,0,,0,
1363874472.187,,1.000000e+003,7.004883e+001,1.181938e-003,2.980385e-006,3,9.907430e-001,2.521610e-001,,,,,,,,,,,,,,24,3,4.000000e+000,3.231812e-002,0.000000e+000,0,,0,
1363874719.062,,1.000000e+003,6.506721e+001,1.277006e-003,4.446489e-006,3,9.908952e-001,3.481965e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.271057e-002,0.000000e+000,0,,0,
1363874956.296,,1.000000e+003,6.006638e+001,1.385721e-003,4.195012e-006,3,9.911351e-001,3.027312e-001,,,,,,,,,,,,,,24,3,4.000000e+000,9.757996e-003,0.000000e+000,0,,0,
1363875186.546,,1.000000e+003,5.506665e+001,1.514583e-003,3.211105e-006,3,9.914165e-001,2.120125e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.870728e-002,0.000000e+000,0,,0,
1363875414.187,,1.000000e+003,5.004715e+001,1.670613e-003,2.249642e-006,3,9.916019e-001,1.346597e-001,,,,,,,,,,,,,,24,3,4.000000e+000,5.057907e-002,0.000000e+000,0,,0,
1363875659.562,,1.000000e+003,4.501666e+001,1.861988e-003,1.485300e-007,3,9.919470e-001,7.976959e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.866913e-002,0.000000e+000,0,,0,
1363875884.671,,1.000000e+003,4.001601e+001,2.105083e-003,3.691976e-007,3,9.922023e-001,1.753838e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.773285e-002,0.000000e+000,0,,0,
1363876107.421,,1.000000e+003,3.500101e+001,2.420602e-003,2.168117e-007,3,9.923672e-001,8.956932e-003,,,,,,,,,,,,,,24,3,4.000000e+000,4.879761e-002,0.000000e+000,0,,0,
1363876332.671,,1.000000e+003,3.000714e+001,2.843549e-003,1.697864e-006,3,9.924887e-001,5.970933e-002,,,,,,,,,,,,,,24,3,4.000000e+000,4.689980e-002,0.000000e+000,0,,0,
1363876523.171,,1.000000e+003,2.799512e+001,3.058983e-003,3.246006e-007,3,9.925577e-001,1.061139e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.611900e-002,0.000000e+000,0,,0,
1363876707.046,,1.000000e+003,2.599614e+001,3.307387e-003,5.532065e-007,3,9.926351e-001,1.672639e-002,,,,,,,,,,,,,,24,3,4.000000e+000,8.840561e-003,0.000000e+000,0,,0,
1363876913.156,,1.000000e+003,2.399264e+001,3.600538e-003,1.702830e-006,3,9.926264e-001,4.729376e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.124977e-002,0.000000e+000,0,,0,
