[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1369560420.078000 5/26/2013, 10:27:00 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, JPSW-RM-5
INFO, WEIGHT, 9.850
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, JPSW, 13.19 mg eico
INFO, SEQUENCE FILE: Chi_T_Mag_RSO_rapid.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1369566440.718,,1.000000e+003,4.001616e+001,9.208116e-004,6.668486e-008,-1.734277e-002,1.752605e-004,3,9.879314e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,3.350830e-002,0,,0,
1369566630.890,,1.000000e+003,3.500209e+001,1.020787e-003,4.794368e-008,-1.775184e-002,2.081711e-004,3,9.880625e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,3.608704e-003,0,,0,
1369566818.562,,1.000000e+003,2.999373e+001,1.142483e-003,7.850239e-008,-1.803745e-002,3.965987e-005,3,9.884343e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,6.790161e-003,0,,0,
1369567030.218,,1.000000e+003,2.499333e+001,1.294836e-003,2.011689e-007,-1.851594e-002,1.176454e-004,3,9.884091e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,2.172852e-002,0,,0,
1369567258.640,,1.000000e+003,1.999509e+001,1.490005e-003,1.884890e-007,-1.893504e-002,5.129427e-005,3,9.885097e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,2.836037e-002,0,,0,
1369567483.171,,1.000000e+003,1.600568e+001,1.694829e-003,1.187090e-007,-1.933064e-002,4.804663e-005,3,9.885209e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,6.568909e-003,0,,0,
1369567613.328,,1.000000e+003,1.404015e+001,1.822975e-003,2.723384e-007,-1.949710e-002,6.801187e-005,3,9.886610e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,9.320259e-003,0,,0,
1369567745.062,,1.000000e+003,1.201406e+001,1.987581e-003,3.208827e-007,-1.992368e-002,1.570149e-004,3,9.885408e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,8.090019e-003,0,,0,
1369567888.328,,1.000000e+003,1.001502e+001,2.220688e-003,1.860942e-006,-2.000945e-002,9.169130e-004,3,9.877454e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.371002e-002,0,,0,
1369568034.593,,1.000000e+003,8.020131e+000,2.632443e-003,5.001320e-006,-2.140072e-002,1.989646e-004,3,9.875867e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.522923e-002,0,,0,
1369568157.359,,1.000000e+003,7.020272e+000,3.018968e-003,1.752965e-006,-2.196958e-002,1.771706e-004,3,9.887215e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.416016e-002,0,,0,
1369568294.609,,1.000000e+003,6.021046e+000,3.688063e-003,4.669504e-006,-2.223195e-002,3.367354e-004,3,9.891938e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,7.627964e-003,0,,0,
1369568681.906,,1.000000e+003,5.020683e+000,5.100046e-003,2.563385e-005,-2.299663e-002,5.358364e-005,3,9.888270e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,4.448891e-002,0,,0,
1369568851.593,,1.000000e+003,4.006986e+000,8.966548e-003,6.209175e-006,-2.309287e-002,1.431070e-004,3,9.882014e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,4.066944e-003,0,,0,
1369569148.000,,1.000000e+003,3.503391e+000,1.328544e-002,9.755995e-005,-2.293348e-002,8.221342e-005,3,9.882218e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,6.584167e-003,0,,0,
1369569308.531,,1.000000e+003,3.003230e+000,2.140407e-002,1.773391e-004,-2.290698e-002,1.681980e-004,3,9.882753e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.066613e-002,0,,0,
1369569496.187,,1.000000e+003,2.504576e+000,3.463029e-002,2.250620e-004,-2.343682e-002,1.654153e-004,3,9.889559e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,1.041698e-002,0,,0,
1369569785.531,,1.000000e+003,2.000601e+000,4.925822e-002,5.523708e-005,-2.446052e-002,1.253306e-004,3,9.881676e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,3,8.981109e-003,0,,0,
